family,value,pool_index,method,mse,actual_pool_cosine,mean_minority_context,num_prompts
similarity,0.9,6,known_pool,0.056041797790723276,0.8999999761581421,,128
similarity,0.9,6,ridge_current,0.6998115143648729,0.8999999761581421,,128
similarity,0.9,6,ridge_history,0.08213063458388328,0.8999999761581421,,128
similarity,0.9,6,em_ridge_K2,0.0621752543244589,0.8999999761581421,,128
similarity,0.9,7,transformer,0.05071391787634411,0.8999999761581421,,128
similarity,0.9,7,known_pool,0.04593162591550584,0.8999999761581421,,128
similarity,0.9,7,ridge_current,0.5081646986440835,0.8999999761581421,,128
similarity,0.9,7,ridge_history,0.08772545560395732,0.8999999761581421,,128
similarity,0.9,7,em_ridge_K2,0.048274709230571894,0.8999999761581421,,128
similarity,0.9,8,transformer,0.06249874902394324,0.9000000953674316,,128
similarity,0.9,8,known_pool,0.0574441031155919,0.9000000953674316,,128
similarity,0.9,8,ridge_current,0.45808898956241356,0.9000000953674316,,128
similarity,0.9,8,ridge_history,0.0877946511369125,0.9000000953674316,,128
similarity,0.9,8,em_ridge_K2,0.06271681405702721,0.9000000953674316,,128
similarity,0.9,9,transformer,0.055553730793975076,0.9000000953674316,,128
similarity,0.9,9,known_pool,0.04781993485606795,0.9000000953674316,,128
similarity,0.9,9,ridge_current,0.3393573868172829,0.9000000953674316,,128
similarity,0.9,9,ridge_history,0.09579674701418174,0.9000000953674316,,128
similarity,0.9,9,em_ridge_K2,0.05358047299947542,0.9000000953674316,,128
similarity,0.99,0,transformer,0.052613089639584776,0.9900001883506775,,128
similarity,0.99,0,known_pool,0.04381061649891273,0.9900001883506775,,128
similarity,0.99,0,ridge_current,0.43015257540456164,0.9900001883506775,,128
similarity,0.99,0,ridge_history,0.049113977421823884,0.9900001883506775,,128
similarity,0.99,0,em_ridge_K2,0.0485351530534216,0.9900001883506775,,128
similarity,0.99,1,transformer,0.044901437132202106,0.9900000095367432,,128
similarity,0.99,1,known_pool,0.04700444127166574,0.9900000095367432,,128
similarity,0.99,1,ridge_current,0.4367918321674552,0.9900000095367432,,128
similarity,0.99,1,ridge_history,0.046972825437511787,0.9900000095367432,,128
similarity,0.99,1,em_ridge_K2,0.04510990283125401,0.9900000095367432,,128
similarity,0.99,2,transformer,0.043365299441764336,0.9900000095367432,,128
similarity,0.99,2,known_pool,0.04022516611188946,0.9900000095367432,,128
similarity,0.99,2,ridge_current,0.4415781069251746,0.9900000095367432,,128
similarity,0.99,2,ridge_history,0.043646793283143276,0.9900000095367432,,128
similarity,0.99,2,em_ridge_K2,0.041658333156213555,0.9900000095367432,,128
similarity,0.99,3,transformer,0.0454134232766243,0.9900000691413879,,128
similarity,0.99,3,known_pool,0.04038819342747604,0.9900000691413879,,128
similarity,0.99,3,ridge_current,0.4146318368742489,0.9900000691413879,,128
similarity,0.99,3,ridge_history,0.040786030187369905,0.9900000691413879,,128
similarity,0.99,3,em_ridge_K2,0.04045947746344297,0.9900000691413879,,128
similarity,0.99,4,transformer,0.06327568092718214,0.9899999499320984,,128
similarity,0.99,4,known_pool,0.050527705072555246,0.9899999499320984,,128
similarity,0.99,4,ridge_current,0.41970785626261164,0.9899999499320984,,128
similarity,0.99,4,ridge_history,0.054165843940710647,0.9899999499320984,,128
similarity,0.99,4,em_ridge_K2,0.05092551668611357,0.9899999499320984,,128
similarity,0.99,5,transformer,0.04464223889358665,0.9900000095367432,,128
similarity,0.99,5,known_pool,0.0432925655902965,0.9900000095367432,,128
similarity,0.99,5,ridge_current,0.5140463300444208,0.9900000095367432,,128
similarity,0.99,5,ridge_history,0.0489590217179687,0.9900000095367432,,128
similarity,0.99,5,em_ridge_K2,0.04626115290499987,0.9900000095367432,,128
similarity,0.99,6,transformer,0.051444745940608674,0.9899999499320984,,128
similarity,0.99,6,known_pool,0.043653294548850266,0.9899999499320984,,128
similarity,0.99,6,ridge_current,0.38083191911595515,0.9899999499320984,,128
similarity,0.99,6,ridge_history,0.042431859940053065,0.9899999499320984,,128
similarity,0.99,6,em_ridge_K2,0.04486068828408891,0.9899999499320984,,128
similarity,0.99,7,transformer,0.040057944442088475,0.9900001287460327,,128
similarity,0.99,7,known_pool,0.033790286431870396,0.9900001287460327,,128
similarity,0.99,7,ridge_current,0.38933567423260174,0.9900001287460327,,128
similarity,0.99,7,ridge_history,0.0340228317973846,0.9900001287460327,,128
similarity,0.99,7,em_ridge_K2,0.03445590608025684,0.9900001287460327,,128
similarity,0.99,8,transformer,0.05315355407745861,0.9900001287460327,,128
similarity,0.99,8,known_pool,0.04395405782463852,0.9900001287460327,,128
similarity,0.99,8,ridge_current,0.35416281635957236,0.9900001287460327,,128
similarity,0.99,8,ridge_history,0.05003001164296094,0.9900001287460327,,128
similarity,0.99,8,em_ridge_K2,0.05198837106384202,0.9900001287460327,,128
similarity,0.99,9,transformer,0.03856927884671011,0.9900000691413879,,128
similarity,0.99,9,known_pool,0.03728676627094595,0.9900000691413879,,128
similarity,0.99,9,ridge_current,0.5006374475499709,0.9900000691413879,,128
similarity,0.99,9,ridge_history,0.03987512339548458,0.9900000691413879,,128
similarity,0.99,9,em_ridge_K2,0.03729363088389934,0.9900000691413879,,128
