model_type,pool_index,pool_cosine,layer,head,source_position,same_attention,different_attention,selectivity,input_attention,output_attention,self_attention,num_prompts
trained,0,-0.5101710557937622,5,0,5,0.12397868083073543,0.03065713606183491,0.6034924291383931,0.09060632064938545,0.06548764482140541,0.21953016705811024,128
trained,0,-0.5101710557937622,5,0,10,0.077035091817379,0.011078403517603874,0.7485424116734637,0.05399251282215119,0.03412098400294781,0.11886502616107464,128
trained,0,-0.5101710557937622,5,0,20,0.040572468341319556,0.005849852922963043,0.7479724079270498,0.02823934219777584,0.018508506007492542,0.06504306197166443,128
trained,0,-0.5101710557937622,5,0,30,0.027295019002158725,0.004380246613504017,0.7234279474076585,0.019398690511782963,0.012646554410457611,0.03864269005134702,128
trained,0,-0.5101710557937622,5,0,40,0.02116583287118671,0.0034892188480922155,0.7169570854542306,0.014580243080854417,0.009625988267362117,0.031750765861943364,128
trained,0,-0.5101710557937622,5,0,49,0.017581376190682577,0.0025740625298373183,0.7445788637099723,0.012430875124979993,0.007408721106392997,0.02785977046005428,128
trained,0,-0.5101710557937622,5,1,5,0.14482143842256986,0.018590040433974494,0.772475708996177,0.0981413371860981,0.06724250242114067,0.17308079451322556,128
trained,0,-0.5101710557937622,5,1,10,0.08606696873903275,0.007009390369057655,0.8493840877178644,0.05696195065975189,0.03611440770328045,0.06923640705645084,128
trained,0,-0.5101710557937622,5,1,20,0.0454050247145142,0.0025905856762774735,0.892049058002166,0.02903328500688076,0.01936371102929115,0.032060070894658566,128
trained,0,-0.5101710557937622,5,1,30,0.030403596935731702,0.0018301335133340006,0.8864460620424236,0.01950403725107511,0.013191035886605581,0.01914782728999853,128
trained,0,-0.5101710557937622,5,1,40,0.02393444955707313,0.0012820629732949393,0.8983155999704466,0.014623002521693707,0.01001835148781538,0.014345832751132548,128
trained,0,-0.5101710557937622,5,1,49,0.019341915981777327,0.0012115876444572958,0.8821040279135797,0.011948509179815953,0.008223424988741778,0.011575225042179227,128
trained,0,-0.5101710557937622,5,2,5,0.07690580221322867,0.12101270660521492,-0.22285386371935503,0.0883539266884327,0.10887540876865387,0.013853315496817231,128
trained,0,-0.5101710557937622,5,2,10,0.04091490022838116,0.05849723890423775,-0.17686309568516914,0.036870060674846175,0.06254207938909531,0.005878603318706155,128
trained,0,-0.5101710557937622,5,2,20,0.016720231287988715,0.03332286415039929,-0.33176670461002195,0.018974333815276623,0.030913113430142403,0.0022510921116918325,128
trained,0,-0.5101710557937622,5,2,30,0.011813132473287186,0.021626499230549916,-0.29346515667046685,0.011529657120505968,0.02175152872999509,0.0015644075465388596,128
trained,0,-0.5101710557937622,5,2,40,0.008830997126852582,0.015963931855701264,-0.28767715905054075,0.008300368767231702,0.016675670444965363,0.0009584486615494825,128
trained,0,-0.5101710557937622,5,2,49,0.008054130628753563,0.012245662058985732,-0.2064814894665056,0.00567094761194015,0.014717059019876987,0.0009876249750959687,128
trained,0,-0.5101710557937622,5,3,5,0.1255946262066181,0.014619161496086726,0.7914732675579743,0.07022531628608704,0.07172246277332306,0.29026109352707863,128
trained,0,-0.5101710557937622,5,3,10,0.0738770306110382,0.005954616982489824,0.8508206416273945,0.04155014641582966,0.03828150033950806,0.2016835268586874,128
trained,0,-0.5101710557937622,5,3,20,0.04114469470623477,0.0024486010900055194,0.8876615752158602,0.025187107920646667,0.018768964521586894,0.12087857350707054,128
trained,0,-0.5101710557937622,5,3,30,0.028213242150037364,0.0018093110613875947,0.8794698739253927,0.01743611544370651,0.013012750819325448,0.08653399348258972,128
trained,0,-0.5101710557937622,5,3,40,0.02235217925780761,0.001352552198228382,0.8858833561409598,0.013856234960258007,0.009315302781760692,0.07313850335776806,128
trained,0,-0.5101710557937622,5,3,49,0.018359281651748507,0.001249449987250667,0.8725618759347029,0.011601219980084166,0.007647419918556602,0.056816655211150646,128
trained,1,-0.6682425141334534,0,0,5,0.07060674302447648,0.07565549876552222,-0.03451851741928143,0.008714470034465193,0.1376897618174553,0.26797881349921227,128
trained,1,-0.6682425141334534,0,0,10,0.03710088238996618,0.038080546458562216,-0.013030665732049092,0.006122690392658114,0.06899751126766204,0.24879799224436283,128
trained,1,-0.6682425141334534,0,0,20,0.02069323806553425,0.020218985288685355,0.011591958049583491,0.004272402171045542,0.0366383396089077,0.18178516626358032,128
trained,1,-0.6682425141334534,0,0,30,0.014884763647190052,0.01424791420785792,0.02186031241202638,0.0034422343596816063,0.02570006127158801,0.1257311087101698,128
trained,1,-0.6682425141334534,0,0,40,0.011262914263100988,0.011125551974365466,0.006135404152854144,0.002975269593298435,0.019409440457820892,0.10461160354316235,128
trained,1,-0.6682425141334534,0,0,49,0.009484561069388928,0.009374566421977456,0.005832435644543718,0.002387364794101034,0.01647327156091223,0.07582885026931763,128
trained,1,-0.6682425141334534,0,1,5,0.06316153949479965,0.05952523508332783,0.02963892745526999,0.0020126370363868773,0.12057186737656593,0.3870774917304516,128
trained,1,-0.6682425141334534,0,1,10,0.032077943577485925,0.031002549330393474,0.01704796835760101,0.0011802738532423972,0.061967428773641586,0.3685229495167732,128
trained,1,-0.6682425141334534,0,1,20,0.016725076403363744,0.01637537652086989,0.01056480656877253,0.0009806337533518673,0.03211872540414333,0.33801281452178955,128
trained,1,-0.6682425141334534,0,1,30,0.012216009562782534,0.011704585339139215,0.021380079622553696,0.0008492903628696998,0.023079029222329458,0.28215041384100914,128
trained,1,-0.6682425141334534,0,1,40,0.009271795395387703,0.009107453832154945,0.008941690772522848,0.0008367538743186742,0.017538002133369444,0.26500976644456387,128
trained,1,-0.6682425141334534,0,1,49,0.007850817743057199,0.007732564178131331,0.007588440398646169,0.0007172204335505256,0.014867782744826103,0.23633483797311783,128
trained,1,-0.6682425141334534,0,2,5,0.06791993199437378,0.06825585423269533,-0.0024668279701278036,0.006530510075390339,0.1296547219157219,0.3190738260746002,128
trained,1,-0.6682425141334534,0,2,10,0.036176000973757574,0.037008163134257,-0.011370795453232769,0.00395500713493675,0.06917714774608612,0.2686784565448761,128
trained,1,-0.6682425141334534,0,2,20,0.01978099570378988,0.0197703760361003,0.00026850314469880883,0.0030243847984820606,0.03652695566415787,0.2089732140302658,128
trained,1,-0.6682425141334534,0,2,30,0.014344305304639336,0.014257785695245946,0.003024940008431977,0.0025672590049604575,0.02603613808751106,0.14189806394279003,128
trained,1,-0.6682425141334534,0,2,40,0.011167308700132562,0.011027014935424573,0.0063211552199277645,0.002204882074147463,0.019985605403780936,0.11238048924133182,128
trained,1,-0.6682425141334534,0,2,49,0.009487875680122484,0.009115961119845736,0.01999128267225994,0.0019575485351438424,0.0166513877255576,0.08816212182864547,128
trained,1,-0.6682425141334534,0,3,5,0.06754927274881835,0.06392941503901613,0.027531897151392388,0.004231141554191709,0.12714573591947556,0.3431156165897846,128
trained,1,-0.6682425141334534,0,3,10,0.036836677088457,0.03621106545130412,0.00856442123182358,0.0034286695998162033,0.06965817138552666,0.2691315747797489,128
trained,1,-0.6682425141334534,0,3,20,0.020686525909878243,0.020217964025301353,0.01145502328247961,0.002422323636710644,0.03848070167005062,0.18193948827683926,128
trained,1,-0.6682425141334534,0,3,30,0.013249607560816883,0.012982149845327038,0.010195951088546049,0.002113299894457062,0.024122497191031773,0.2129260702058673,128
trained,1,-0.6682425141334534,0,3,40,0.010701425583008302,0.010263345359396119,0.02089601764764353,0.0020187408896163105,0.01893405131995678,0.16188833117485046,128
trained,1,-0.6682425141334534,0,3,49,0.00900966793383094,0.008552853821397715,0.02601073574591951,0.00159872904876057,0.01597005661044802,0.13912952691316605,128
trained,1,-0.6682425141334534,1,0,5,0.06635495550762802,0.06018072167428431,0.04879441095825178,0.01017302293330431,0.11618900820612907,0.36818986386060715,128
trained,1,-0.6682425141334534,1,0,10,0.035821993210736446,0.0361791201432546,-0.004960019586883188,0.007763850688934326,0.06421494334936143,0.2802120689302683,128
trained,1,-0.6682425141334534,1,0,20,0.019506222402040488,0.01972357970531856,-0.0055406168676990705,0.005428306804969907,0.033802172914147374,0.21539039351046085,128
trained,1,-0.6682425141334534,1,0,30,0.014463941154264682,0.012547382534275226,0.0709538948189955,0.004845787119120359,0.02219448486963908,0.18879183754324913,128
trained,1,-0.6682425141334534,1,0,40,0.010779859359005847,0.01058442737666373,0.009147601544154437,0.003815464396029711,0.0175434784963727,0.14564228244125843,128
trained,1,-0.6682425141334534,1,0,49,0.008989595699400301,0.007722839428852031,0.07579722887486486,0.0034413536516379336,0.013288450788478462,0.18023957312107086,128
trained,1,-0.6682425141334534,1,1,5,0.09235661129476173,0.07725873399288097,0.08901244917544442,0.06948554888367653,0.09970516040921211,0.15404642838984728,128
trained,1,-0.6682425141334534,1,1,10,0.04793900461757884,0.04085194746653239,0.0798173348141723,0.04899413101375103,0.040239764377474785,0.1076610554009676,128
