model_type,pool_index,layer,key_task,is_self,attention,input_attention,output_attention,same_attention,different_attention
trained,0,3,19,False,0.01974230128689669,0.013523514891858213,0.006218786478711991,0.02352031044938485,0.01596429228084162
trained,0,3,20,False,0.02106269440264441,0.014978171762777492,0.0060845224288641475,0.024641023246872732,0.01700725451422234
trained,0,3,21,False,0.01911206693330314,0.012877745160949416,0.006234321597730741,0.020924111013300717,0.01730002206750214
trained,0,3,22,False,0.01951876250677742,0.013177548011299223,0.006341214320855215,0.023256628071859242,0.01600743428041989
trained,0,3,23,False,0.018677348707569763,0.011951806387514807,0.00672554236734868,0.02159727221945874,0.016679506442558608
trained,0,3,24,False,0.01867576368385926,0.012087436145520769,0.006588327432837104,0.019638032582218922,0.017743103206157684
trained,0,3,25,False,0.020381691807415336,0.01390994180837879,0.006471749951742822,0.023559500061674045,0.01757774326731177
trained,0,3,26,False,0.020770626928424463,0.014227710664272308,0.00654291624596226,0.023730006440124216,0.01730965764530129
trained,0,3,27,False,0.02147647726815194,0.014787421605433337,0.006689055993774673,0.024477702545534285,0.017854309391936867
trained,0,3,28,False,0.02280154832988046,0.01583673761342652,0.006964810316276271,0.02673418151519807,0.0195430802048317
trained,0,3,29,False,0.022146338189486414,0.015158902679104358,0.00698743565226323,0.027156536087491794,0.018124066712990612
trained,0,3,30,False,0.021134869050001726,0.014281465140811633,0.00685340391646605,0.025405279027522897,0.01759652911818453
trained,0,3,31,False,0.022381099493941292,0.01503561651770724,0.007345483099925332,0.026192945106664582,0.018686541599723012
trained,0,3,32,False,0.022587611369090155,0.015433012493303977,0.00715459862476564,0.025871490649639298,0.018865881410116952
trained,0,3,33,False,0.02116406592540443,0.013927735199104063,0.007236331086460268,0.02470228724853426,0.017942701285677168
trained,0,3,34,False,0.022491193347377703,0.015312197501771152,0.007178995874710381,0.024885066100978293,0.020097321263165213
trained,0,3,35,False,0.022198860038770363,0.014718197344336659,0.007480662367015611,0.025711652632294732,0.018459435041633346
trained,0,3,36,False,0.023228764272062108,0.01578048394731013,0.007448280088283354,0.02788736152172721,0.019936688418189685
trained,0,3,37,False,0.022155950602609664,0.014442421117564663,0.00771352960873628,0.027474481711683214,0.017313706785885254
trained,0,3,38,False,0.020343843032605946,0.012905309806228615,0.0074385330772202,0.023189670936419413,0.017407671474511662
trained,0,3,39,False,0.023578527296194807,0.01581685757264495,0.0077616698799829464,0.02695016023129798,0.020099859019475322
trained,0,3,40,False,0.022895391914062202,0.015210225217742845,0.007685166936425958,0.026572375134445533,0.017159298704937098
trained,0,3,41,False,0.023346192319877446,0.015887624947936274,0.007458567321009468,0.027678088226001443,0.017950321449653098
trained,0,3,42,False,0.0226673275756184,0.015092023881152272,0.007575303436169634,0.02712664817818993,0.018854284200115482
trained,0,3,43,False,0.02234387764474377,0.01445251191034913,0.007891365501563996,0.027835078938896286,0.017794025343443667
trained,0,3,44,False,0.026583168568322435,0.01893276150804013,0.0076504068420035765,0.029249395531223854,0.023916941267088987
trained,0,3,45,False,0.021961699705570936,0.014539537573000416,0.007422162281727651,0.025131815316854045,0.019496054543803137
trained,0,3,46,False,0.025260259892093018,0.01725064510537777,0.00800961520508281,0.030567297241015534,0.021261807199414465
trained,0,3,47,False,0.023202583426609635,0.015240819280734286,0.007961763833009172,0.02677953327887706,0.019735692942944857
trained,0,3,48,False,0.023373433330561966,0.015813768870430067,0.007559664350992534,0.027375328278085635,0.018977908921412757
trained,0,3,49,True,0.03806069489610309,0.03806069489610309,0.0,nan,nan
trained,0,4,0,False,0.012236392052727751,0.0059910642594331875,0.00624532753136009,0.014516177695190561,0.009570201669456595
trained,0,4,1,False,0.01084131134848576,0.00686743127880618,0.003973880047851708,0.013395579323283772,0.008035804022897462
trained,0,4,2,False,0.013047507716692053,0.008878287218976766,0.004169220424955711,0.017325937537656676,0.009028376510479686
trained,0,4,3,False,0.013631778681883588,0.009181517154502217,0.004450261403690092,0.017530890286598405,0.008774990583524891
trained,0,4,4,False,0.0129836533596972,0.00816478168417234,0.004818871704628691,0.016916380124983556,0.009826394060338048
trained,0,4,5,False,0.014024988340679556,0.008929068135330454,0.0050959200743818656,0.017333944689538052,0.01039056089844127
trained,0,4,6,False,0.015176262037130073,0.009901729936245829,0.005274532231851481,0.01878352343919687,0.011569001086172648
trained,0,4,7,False,0.015131262043723837,0.009522611944703385,0.0056086501717800274,0.01809518354232697,0.011772151074061791
trained,0,4,8,False,0.015965747617883608,0.010137001067050733,0.005828746645420324,0.020274549214677376,0.011378958798764695
trained,0,4,9,False,0.016798522177850828,0.01077903073746711,0.006019491556799039,0.021305403151249482,0.012944812144058338
trained,0,4,10,False,0.017123505007475615,0.010719047539168969,0.006404457599273883,0.022965534046913184,0.012860402464866638
trained,0,4,11,False,0.01834356487961486,0.011777120380429551,0.0065664445864968,0.024097968398009314,0.013423132791143396
