model_type,pool_index,pool_cosine,layer,head,source_task,key_task,is_self,attention,input_attention,output_attention,same_attention,different_attention,same_count,different_count,num_prompts
untrained,4,0.5655080080032349,0,0,49,20,False,0.02025357261300087,0.010105109540745616,0.01014846283942461,0.020230584928104953,0.020275167217760376,62,66,128
untrained,4,0.5655080080032349,0,0,49,21,False,0.020170232513919473,0.010030747507698834,0.010139485239051282,0.020238903623360855,0.020099380896204992,65,63,128
untrained,4,0.5655080080032349,0,0,49,22,False,0.020162625471130013,0.010014020837843418,0.010148604633286595,0.020014697313308717,0.020274077784525207,55,73,128
untrained,4,0.5655080080032349,0,0,49,23,False,0.020281844539567828,0.010194770758971572,0.01008707273285836,0.02025737162207214,0.020312325734841197,71,57,128
untrained,4,0.5655080080032349,0,0,49,24,False,0.02025011391378939,0.010117889964021742,0.010132223833352327,0.02025362962888459,0.020247107830600464,59,69,128
untrained,4,0.5655080080032349,0,0,49,25,False,0.020249074790626764,0.010033405502326787,0.010215669521130621,0.020234433701261878,0.02026371657848358,64,64,128
untrained,4,0.5655080080032349,0,0,49,26,False,0.020221282728016376,0.01008762652054429,0.010133656323887408,0.020324965487375404,0.020110911899997343,66,62,128
untrained,4,0.5655080080032349,0,0,49,27,False,0.02005027956329286,0.010008469107560813,0.010041810921393335,0.02002214640378952,0.020082164059082665,68,60,128
untrained,4,0.5655080080032349,0,0,49,28,False,0.02026940183714032,0.010143266641534865,0.0101261354284361,0.02026828467845917,0.02027098356552844,75,53,128
untrained,4,0.5655080080032349,0,0,49,29,False,0.020222195656970143,0.01013296446762979,0.01008923095650971,0.020256783231161535,0.020187608315609396,64,64,128
untrained,4,0.5655080080032349,0,0,49,30,False,0.02018087124451995,0.010030447505414486,0.010150423273444176,0.0201164638948819,0.020243295568686266,63,65,128
untrained,4,0.5655080080032349,0,0,49,31,False,0.02015382470563054,0.010089419782161713,0.010064405156299472,0.020135299985607466,0.020170169389423204,60,68,128
untrained,4,0.5655080080032349,0,0,49,32,False,0.02022065524943173,0.010121464263647795,0.010099190869368613,0.020198141009761736,0.0202360600233078,52,76,128
untrained,4,0.5655080080032349,0,0,49,33,False,0.02018066355958581,0.01008690579328686,0.010093757533468306,0.020154360626170886,0.020209552933935258,67,61,128
untrained,4,0.5655080080032349,0,0,49,34,False,0.02019911934621632,0.01005483721382916,0.010144281899556518,0.020163115898245258,0.020251739053772047,76,52,128
untrained,4,0.5655080080032349,0,0,49,35,False,0.02016671933233738,0.010044015478342772,0.010122704203240573,0.020095332463582357,0.0202297081842142,60,68,128
untrained,4,0.5655080080032349,0,0,49,36,False,0.020205070730298758,0.010105766588822007,0.01009930414147675,0.020220513380057103,0.020183908304682485,74,54,128
untrained,4,0.5655080080032349,0,0,49,37,False,0.020212064730003476,0.010037259780801833,0.010174804599955678,0.02025827651636468,0.020152647979557514,72,56,128
untrained,4,0.5655080080032349,0,0,49,38,False,0.020214663352817297,0.010037181316874921,0.010177481570281088,0.02024938694892391,0.020182043652642857,62,66,128
untrained,4,0.5655080080032349,0,0,49,39,False,0.020238748053088784,0.010112931719049811,0.01012581610120833,0.02014443715070856,0.020316891478640693,58,70,128
untrained,4,0.5655080080032349,0,0,49,40,False,0.020224774722009897,0.010072512435726821,0.010152262169867754,0.02015433299775217,0.020271430541942647,51,77,128
untrained,4,0.5655080080032349,0,0,49,41,False,0.020169884897768497,0.010089309187605977,0.010080574895255268,0.020181842148303986,0.020158294760263883,63,65,128
untrained,4,0.5655080080032349,0,0,49,42,False,0.020169543335214257,0.01005313079804182,0.010116412420757115,0.020352437862983117,0.019980841567592014,65,63,128
untrained,4,0.5655080080032349,0,0,49,43,False,0.020260945428162813,0.010098397498950362,0.010162548394873738,0.02033777401518466,0.020176560297364095,67,61,128
untrained,4,0.5655080080032349,0,0,49,44,False,0.020131372846662998,0.010054596932604909,0.010076775564812124,0.020119451230666677,0.02014222696645936,61,67,128
untrained,4,0.5655080080032349,0,0,49,45,False,0.020193014992401004,0.010072210105136037,0.01012080512009561,0.020205951506091703,0.020180863638718922,62,66,128
untrained,4,0.5655080080032349,0,0,49,46,False,0.02026221645064652,0.010092448559589684,0.010169767425395548,0.020208235830068588,0.0203161962563172,64,64,128
untrained,4,0.5655080080032349,0,0,49,47,False,0.020256452029570937,0.010123147862032056,0.010133303818292916,0.02020115767781799,0.020332225218967156,74,54,128
untrained,4,0.5655080080032349,0,0,49,48,False,0.020193106262013316,0.010081327869556844,0.01011177885811776,0.020325076809296242,0.020056946291809992,65,63,128
untrained,4,0.5655080080032349,0,0,49,49,True,0.009959674905985594,0.009959674905985594,0.0,,,0,0,128
untrained,4,0.5655080080032349,0,1,49,0,False,0.0202890585642308,0.010132840950973332,0.010156217380426824,0.020268044734405258,0.020307026155616924,59,69,128
