model_type,layer,position,metric,control,mean,stderr,ci95_low,ci95_high,num_pools
trained,3,49,component_accuracy,shuffled,0.48203125,0.014548414295274398,0.44912045039458925,0.5149420496054108,10
trained,4,5,beta_r2,actual,0.7804764777421951,0.050560537948982597,0.6661005946659736,0.8948523608184166,10
trained,4,5,beta_r2,shuffled,-0.3359096646308899,0.035917431311337865,-0.41716053914114537,-0.2546587901206344,10
trained,4,5,component_accuracy,actual,0.95,0.01572019611748601,0.9144384457522364,0.9855615542477635,10
trained,4,5,component_accuracy,shuffled,0.4796875,0.015415258944738273,0.4448157615617712,0.5145592384382288,10
trained,4,10,beta_r2,actual,0.8176239758729935,0.05452575936612361,0.6942781387659057,0.9409698129800813,10
trained,4,10,beta_r2,shuffled,-0.2716923728585243,0.03354494112129066,-0.34757630169169607,-0.1958084440253526,10
trained,4,10,component_accuracy,actual,0.95390625,0.019363866088563855,0.91010214162829,0.99771035837171,10
trained,4,10,component_accuracy,shuffled,0.515625,0.017313302227702772,0.4764595893539121,0.5547904106460879,10
trained,4,20,beta_r2,actual,0.8389766603708267,0.05250187361362906,0.7202091709154297,0.9577441498262238,10
trained,4,20,beta_r2,shuffled,-0.258760803937912,0.010918488831539452,-0.2834601416551112,-0.23406146622071283,10
trained,4,20,component_accuracy,actual,0.96015625,0.018171411483770324,0.9190496613538355,1.0012628386461646,10
trained,4,20,component_accuracy,shuffled,0.5046875,0.010364452469860622,0.4812414796068232,0.5281335203931767,10
trained,4,30,beta_r2,actual,0.8493778169155121,0.049944806702576144,0.7363948146887076,0.9623608191423165,10
trained,4,30,beta_r2,shuffled,-0.28410704433918,0.030917322895885918,-0.35404688778265325,-0.21416720089570673,10
trained,4,30,component_accuracy,actual,0.965625,0.015193700151890439,0.9312544623719928,0.9999955376280071,10
trained,4,30,component_accuracy,shuffled,0.490625,0.01175053559654008,0.46404344173357154,0.5172065582664284,10
trained,4,40,beta_r2,actual,0.8442798763513565,0.053586584924252,0.7230585994350656,0.9655011532676474,10
trained,4,40,beta_r2,shuffled,-0.31023123413324355,0.017425405377376493,-0.34965023972233816,-0.27081222854414894,10
trained,4,40,component_accuracy,actual,0.96640625,0.016757969315829343,0.9284970896782442,1.004315410321756,10
trained,4,40,component_accuracy,shuffled,0.49765625,0.012382805654134103,0.4696443974939625,0.5256681025060376,10
trained,4,49,beta_r2,actual,0.8501230120658875,0.0431816995066975,0.7524392212250121,0.9478068029067629,10
trained,4,49,beta_r2,shuffled,-0.17143386416137218,0.03943628586563762,-0.2606449407064819,-0.08222278761626244,10
trained,4,49,component_accuracy,actual,0.96875,0.010862840424278233,0.9441765477258851,0.9933234522741149,10
trained,4,49,component_accuracy,shuffled,0.49140625,0.01648871470653826,0.4541061859212684,0.5287063140787316,10
trained,5,5,beta_r2,actual,0.7638734728097916,0.055673066901391406,0.6379322457438653,0.8898146998757178,10
trained,5,5,beta_r2,shuffled,-0.34368746876716616,0.029679181737205795,-0.4108264423199759,-0.2765484952143564,10
trained,5,5,component_accuracy,actual,0.94453125,0.017447916666666664,0.9050613203365939,0.9840011796634062,10
trained,5,5,component_accuracy,shuffled,0.48984375,0.010222805430411729,0.46671815747170176,0.5129693425282983,10
trained,5,10,beta_r2,actual,0.8312101632356643,0.05226853154449244,0.7129705302133469,0.9494497962579818,10
trained,5,10,beta_r2,shuffled,-0.27846098095178606,0.023509081197849672,-0.3316422173743063,-0.22527974452926583,10
trained,5,10,component_accuracy,actual,0.95703125,0.020247291163984545,0.9112286952661316,1.0028338047338685,10
trained,5,10,component_accuracy,shuffled,0.50703125,0.014659862442747466,0.4738683371695025,0.5401941628304976,10
trained,5,20,beta_r2,actual,0.846369394659996,0.05413063785396137,0.7239173845118216,0.9688214048081705,10
trained,5,20,beta_r2,shuffled,-0.26347692757844926,0.04001192184741146,-0.3539901831828931,-0.17296367197400545,10
trained,5,20,component_accuracy,actual,0.96171875,0.018795156849756384,0.9192011513064078,1.0042363486935921,10
trained,5,20,component_accuracy,shuffled,0.48125,0.01165782775291635,0.45487816144607257,0.5076218385539274,10
trained,5,30,beta_r2,actual,0.8640239834785461,0.05153839917794248,0.7474360246190105,0.9806119423380818,10
trained,5,30,beta_r2,shuffled,-0.26846557557582856,0.03289518424548261,-0.34287965223831374,-0.19405149891334342,10
trained,5,30,component_accuracy,actual,0.9703125,0.015529220329037054,0.9351829629999974,1.0054420370000028,10
trained,5,30,component_accuracy,shuffled,0.50078125,0.013096136417375165,0.47115573119845233,0.5304067688015476,10
trained,5,40,beta_r2,actual,0.8579825669527054,0.05553155303998949,0.7323614664819847,0.983603667423426,10
trained,5,40,beta_r2,shuffled,-0.2893258735537529,0.026099998552786625,-0.34836817222896194,-0.23028357487854384,10
trained,5,40,component_accuracy,actual,0.96328125,0.019731611186994392,0.9186452444197915,1.0079172555802085,10
trained,5,40,component_accuracy,shuffled,0.53828125,0.010116106562268244,0.515397027080535,0.5611654729194651,10
trained,5,49,beta_r2,actual,0.8613945662975311,0.044789067643688306,0.7600746561123083,0.9627144764827539,10
trained,5,49,beta_r2,shuffled,-0.32644071727991103,0.03408407211928202,-0.4035442451618755,-0.2493371893979466,10
trained,5,49,component_accuracy,actual,0.971875,0.010875319280115156,0.9472733185927701,0.99647668140723,10
trained,5,49,component_accuracy,shuffled,0.49453125,0.013075406469409575,0.46495262559872713,0.5241098744012729,10
trained,6,5,beta_r2,actual,0.7008140385150909,0.057743952602931976,0.5701881425260883,0.8314399345040936,10
trained,6,5,beta_r2,shuffled,-0.45257653295993805,0.04095408843936191,-0.5452211174689118,-0.3599319484509643,10
trained,6,5,component_accuracy,actual,0.946875,0.01517583571284736,0.9125448745407335,0.9812051254592665,10
trained,6,5,component_accuracy,shuffled,0.4890625,0.01369108273759887,0.4580911191186779,0.5200338808813222,10
trained,6,10,beta_r2,actual,0.7917154908180237,0.05142052588138528,0.6753941798805976,0.9080368017554499,10
trained,6,10,beta_r2,shuffled,-0.3032088041305542,0.039135149366297,-0.39173866258670054,-0.2146789456744078,10
trained,6,10,component_accuracy,actual,0.95546875,0.021820679081785647,0.9061069445180177,1.0048305554819823,10
trained,6,10,component_accuracy,shuffled,0.48984375,0.01397785093783296,0.4582236543804556,0.5214638456195445,10
trained,6,20,beta_r2,actual,0.8127772361040115,0.05635671029554329,0.6852895002372049,0.9402649719708182,10
trained,6,20,beta_r2,shuffled,-0.2508373737335205,0.028749804661952056,-0.31587395027860454,-0.18580079718843642,10
trained,6,20,component_accuracy,actual,0.96171875,0.018722853612519467,0.9193647125924168,1.0040727874075832,10
trained,6,20,component_accuracy,shuffled,0.49921875,0.017870352566976836,0.45879320393888406,0.539644296061116,10
trained,6,30,beta_r2,actual,0.8398924231529236,0.04828052282974413,0.7306742926099756,0.9491105536958715,10
trained,6,30,beta_r2,shuffled,-0.2754846602678299,0.041501321864973614,-0.36936717279027376,-0.1816021477453861,10
trained,6,30,component_accuracy,actual,0.96640625,0.0152760514333984,0.931849420830664,1.000963079169336,10
trained,6,30,component_accuracy,shuffled,0.50703125,0.015115387355136926,0.4728378682261076,0.5412246317738925,10
trained,6,40,beta_r2,actual,0.8374528765678406,0.05325422852320785,0.7169834420647735,0.9579223110709078,10
trained,6,40,beta_r2,shuffled,-0.2346147134900093,0.03188304747655937,-0.30673917771094333,-0.1624902492690753,10
trained,6,40,component_accuracy,actual,0.96328125,0.019067408862484873,0.9201477744657278,1.0064147255342721,10
trained,6,40,component_accuracy,shuffled,0.50859375,0.01729174510524378,0.46947710495289197,0.547710395047108,10
trained,6,49,beta_r2,actual,0.8437039375305175,0.03887312825823354,0.7557668120007812,0.9316410630602538,10
trained,6,49,beta_r2,shuffled,-0.23376288060098888,0.04037015000742342,-0.3250865046035198,-0.14243925659845796,10
