model_type,pool_index,layer,position,metric,control,score,num_prompts
untrained,0,4,30,beta_r2,actual,-0.11808619648218155,128
untrained,0,4,30,beta_r2,shuffled,-0.137505903840065,128
untrained,0,4,30,component_accuracy,actual,0.5,128
untrained,0,4,30,component_accuracy,shuffled,0.625,128
untrained,0,4,40,beta_r2,actual,-0.10046514123678207,128
untrained,0,4,40,beta_r2,shuffled,-0.0878017321228981,128
untrained,0,4,40,component_accuracy,actual,0.40625,128
untrained,0,4,40,component_accuracy,shuffled,0.453125,128
untrained,0,4,49,beta_r2,actual,-0.151022270321846,128
untrained,0,4,49,beta_r2,shuffled,-0.02788734622299671,128
untrained,0,4,49,component_accuracy,actual,0.4765625,128
untrained,0,4,49,component_accuracy,shuffled,0.46875,128
untrained,0,5,5,beta_r2,actual,-0.020374450832605362,128
untrained,0,5,5,beta_r2,shuffled,-0.08043742179870605,128
untrained,0,5,5,component_accuracy,actual,0.4765625,128
untrained,0,5,5,component_accuracy,shuffled,0.4609375,128
untrained,0,5,10,beta_r2,actual,-0.06276769936084747,128
untrained,0,5,10,beta_r2,shuffled,-0.112599216401577,128
untrained,0,5,10,component_accuracy,actual,0.5234375,128
untrained,0,5,10,component_accuracy,shuffled,0.515625,128
untrained,0,5,20,beta_r2,actual,-0.03845784068107605,128
untrained,0,5,20,beta_r2,shuffled,-0.064411960542202,128
untrained,0,5,20,component_accuracy,actual,0.515625,128
untrained,0,5,20,component_accuracy,shuffled,0.4609375,128
untrained,0,5,30,beta_r2,actual,-0.11402516067028046,128
untrained,0,5,30,beta_r2,shuffled,-0.0635247677564621,128
untrained,0,5,30,component_accuracy,actual,0.515625,128
untrained,0,5,30,component_accuracy,shuffled,0.5234375,128
untrained,0,5,40,beta_r2,actual,-0.09615781158208847,128
untrained,0,5,40,beta_r2,shuffled,-0.07894434779882431,128
untrained,0,5,40,component_accuracy,actual,0.4140625,128
untrained,0,5,40,component_accuracy,shuffled,0.59375,128
untrained,0,5,49,beta_r2,actual,-0.14492030441761017,128
untrained,0,5,49,beta_r2,shuffled,-0.0742427185177803,128
untrained,0,5,49,component_accuracy,actual,0.4609375,128
untrained,0,5,49,component_accuracy,shuffled,0.46875,128
untrained,0,6,5,beta_r2,actual,-0.04463418573141098,128
untrained,0,6,5,beta_r2,shuffled,-0.06722841411828995,128
untrained,0,6,5,component_accuracy,actual,0.46875,128
untrained,0,6,5,component_accuracy,shuffled,0.578125,128
untrained,0,6,10,beta_r2,actual,-0.09741248935461044,128
untrained,0,6,10,beta_r2,shuffled,-0.04754532873630524,128
untrained,0,6,10,component_accuracy,actual,0.4921875,128
untrained,0,6,10,component_accuracy,shuffled,0.453125,128
untrained,0,6,20,beta_r2,actual,-0.06697642803192139,128
untrained,0,6,20,beta_r2,shuffled,0.014340667054057121,128
untrained,0,6,20,component_accuracy,actual,0.484375,128
untrained,0,6,20,component_accuracy,shuffled,0.4921875,128
untrained,0,6,30,beta_r2,actual,-0.1279255747795105,128
untrained,0,6,30,beta_r2,shuffled,-0.02290792018175125,128
untrained,0,6,30,component_accuracy,actual,0.5234375,128
untrained,0,6,30,component_accuracy,shuffled,0.5078125,128
untrained,0,6,40,beta_r2,actual,-0.10169687122106552,128
untrained,0,6,40,beta_r2,shuffled,-0.00459720054641366,128
untrained,0,6,40,component_accuracy,actual,0.4609375,128
untrained,0,6,40,component_accuracy,shuffled,0.5,128
untrained,0,6,49,beta_r2,actual,-0.14303545653820038,128
untrained,0,6,49,beta_r2,shuffled,-0.013968948274850845,128
untrained,0,6,49,component_accuracy,actual,0.4140625,128
untrained,0,6,49,component_accuracy,shuffled,0.5078125,128
trained,1,0,5,beta_r2,actual,-0.06468523293733597,128
trained,1,0,5,beta_r2,shuffled,-0.06038752570748329,128
trained,1,0,5,component_accuracy,actual,0.5,128
trained,1,0,5,component_accuracy,shuffled,0.5390625,128
trained,1,0,10,beta_r2,actual,-0.11528089642524719,128
trained,1,0,10,beta_r2,shuffled,-0.05274374410510063,128
trained,1,0,10,component_accuracy,actual,0.4140625,128
trained,1,0,10,component_accuracy,shuffled,0.515625,128
trained,1,0,20,beta_r2,actual,-0.035765390843153,128
trained,1,0,20,beta_r2,shuffled,-0.01316872052848339,128
trained,1,0,20,component_accuracy,actual,0.546875,128
trained,1,0,20,component_accuracy,shuffled,0.4921875,128
trained,1,0,30,beta_r2,actual,-0.08203538507223129,128
trained,1,0,30,beta_r2,shuffled,-0.0042653740383684635,128
trained,1,0,30,component_accuracy,actual,0.4921875,128
